Call,Response,Count,KB,Details
hello,hello what can i help you with today,135,,
may i have a table at resto_seoul_expensive_japanese_7stars,great let me do the reservation,135,<KB> resto_seoul_expensive_japanese_7stars, <R_cuisine> japanese <R_address> resto_seoul_expensive_japanese_7stars_address <R_location> seoul <R_number> eight <R_price> expensive <R_rating> 7 
good morning,hello what can i help you with today,136,,
can you book a table at resto_seoul_expensive_thai_7stars,great let me do the reservation,136,<KB> resto_seoul_expensive_thai_7stars, <R_cuisine> thai <R_address> resto_seoul_expensive_thai_7stars_address <R_location> seoul <R_number> eight <R_price> expensive <R_rating> 7 
hello,hello what can i help you with today,137,,
i'd like to book a table at resto_hanoi_cheap_korean_4stars,great let me do the reservation,137,<KB> resto_hanoi_cheap_korean_4stars, <R_cuisine> korean <R_address> resto_hanoi_cheap_korean_4stars_address <R_location> hanoi <R_number> six <R_price> cheap <R_rating> 4 
hello,hello what can i help you with today,138,,
i'd like to book a table at resto_tokyo_expensive_korean_5stars,great let me do the reservation,138,<KB> resto_tokyo_expensive_korean_5stars, <R_cuisine> korean <R_address> resto_tokyo_expensive_korean_5stars_address <R_location> tokyo <R_number> six <R_price> expensive <R_rating> 5 
good morning,hello what can i help you with today,139,,
i'd like to book a table at resto_seoul_cheap_cantonese_2stars,great let me do the reservation,139,<KB> resto_seoul_cheap_cantonese_2stars, <R_cuisine> cantonese <R_address> resto_seoul_cheap_cantonese_2stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 2 
hi,hello what can i help you with today,140,,
i'd like to book a table at resto_hanoi_moderate_korean_6stars,great let me do the reservation,140,<KB> resto_hanoi_moderate_korean_6stars, <R_cuisine> korean <R_address> resto_hanoi_moderate_korean_6stars_address <R_location> hanoi <R_number> eight <R_price> moderate <R_rating> 6 
hello,hello what can i help you with today,141,,
can you make a restaurant reservation at resto_tokyo_expensive_japanese_6stars,great let me do the reservation,141,<KB> resto_tokyo_expensive_japanese_6stars, <R_cuisine> japanese <R_address> resto_tokyo_expensive_japanese_6stars_address <R_location> tokyo <R_number> four <R_price> expensive <R_rating> 6 
hi,hello what can i help you with today,142,,
i'd like to book a table at resto_tokyo_expensive_cantonese_1stars,great let me do the reservation,142,<KB> resto_tokyo_expensive_cantonese_1stars, <R_cuisine> cantonese <R_address> resto_tokyo_expensive_cantonese_1stars_address <R_location> tokyo <R_number> two <R_price> expensive <R_rating> 1 
hi,hello what can i help you with today,143,,
may i have a table at resto_bangkok_cheap_japanese_7stars,great let me do the reservation,143,<KB> resto_bangkok_cheap_japanese_7stars, <R_cuisine> japanese <R_address> resto_bangkok_cheap_japanese_7stars_address <R_location> bangkok <R_number> eight <R_price> cheap <R_rating> 7 
good morning,hello what can i help you with today,144,,
may i have a table at resto_tokyo_cheap_korean_4stars,great let me do the reservation,144,<KB> resto_tokyo_cheap_korean_4stars, <R_cuisine> korean <R_address> resto_tokyo_cheap_korean_4stars_address <R_location> tokyo <R_number> two <R_price> cheap <R_rating> 4 
hello,hello what can i help you with today,145,,
can you make a restaurant reservation at resto_seoul_cheap_thai_3stars,great let me do the reservation,145,<KB> resto_seoul_cheap_thai_3stars, <R_cuisine> thai <R_address> resto_seoul_cheap_thai_3stars_address <R_location> seoul <R_number> six <R_price> cheap <R_rating> 3 
good morning,hello what can i help you with today,146,,
i'd like to book a table at resto_beijing_moderate_cantonese_3stars,great let me do the reservation,146,<KB> resto_beijing_moderate_cantonese_3stars, <R_cuisine> cantonese <R_address> resto_beijing_moderate_cantonese_3stars_address <R_location> beijing <R_number> six <R_price> moderate <R_rating> 3 
good morning,hello what can i help you with today,147,,
i'd like to book a table at resto_tokyo_moderate_japanese_5stars,great let me do the reservation,147,<KB> resto_tokyo_moderate_japanese_5stars, <R_cuisine> japanese <R_address> resto_tokyo_moderate_japanese_5stars_address <R_location> tokyo <R_number> four <R_price> moderate <R_rating> 5 
good morning,hello what can i help you with today,148,,
can you book a table at resto_beijing_cheap_korean_1stars,great let me do the reservation,148,<KB> resto_beijing_cheap_korean_1stars, <R_cuisine> korean <R_address> resto_beijing_cheap_korean_1stars_address <R_location> beijing <R_number> six <R_price> cheap <R_rating> 1 
hello,hello what can i help you with today,149,,
can you make a restaurant reservation at resto_hanoi_moderate_thai_3stars,great let me do the reservation,149,<KB> resto_hanoi_moderate_thai_3stars, <R_cuisine> thai <R_address> resto_hanoi_moderate_thai_3stars_address <R_location> hanoi <R_number> eight <R_price> moderate <R_rating> 3 
hello,hello what can i help you with today,150,,
can you make a restaurant reservation at resto_bangkok_moderate_cantonese_2stars,great let me do the reservation,150,<KB> resto_bangkok_moderate_cantonese_2stars, <R_cuisine> cantonese <R_address> resto_bangkok_moderate_cantonese_2stars_address <R_location> bangkok <R_number> six <R_price> moderate <R_rating> 2 
hi,hello what can i help you with today,151,,
may i have a table at resto_bangkok_cheap_vietnamese_1stars,great let me do the reservation,151,<KB> resto_bangkok_cheap_vietnamese_1stars, <R_cuisine> vietnamese <R_address> resto_bangkok_cheap_vietnamese_1stars_address <R_location> bangkok <R_number> eight <R_price> cheap <R_rating> 1 
hi,hello what can i help you with today,152,,
may i have a table at resto_seoul_cheap_korean_7stars,great let me do the reservation,152,<KB> resto_seoul_cheap_korean_7stars, <R_cuisine> korean <R_address> resto_seoul_cheap_korean_7stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 7 
good morning,hello what can i help you with today,153,,
may i have a table at resto_hanoi_moderate_japanese_2stars,great let me do the reservation,153,<KB> resto_hanoi_moderate_japanese_2stars, <R_cuisine> japanese <R_address> resto_hanoi_moderate_japanese_2stars_address <R_location> hanoi <R_number> four <R_price> moderate <R_rating> 2 
good morning,hello what can i help you with today,154,,
i'd like to book a table at resto_tokyo_cheap_thai_8stars,great let me do the reservation,154,<KB> resto_tokyo_cheap_thai_8stars, <R_cuisine> thai <R_address> resto_tokyo_cheap_thai_8stars_address <R_location> tokyo <R_number> four <R_price> cheap <R_rating> 8 
good morning,hello what can i help you with today,155,,
i'd like to book a table at resto_beijing_expensive_thai_4stars,great let me do the reservation,155,<KB> resto_beijing_expensive_thai_4stars, <R_cuisine> thai <R_address> resto_beijing_expensive_thai_4stars_address <R_location> beijing <R_number> eight <R_price> expensive <R_rating> 4 
hi,hello what can i help you with today,156,,
i'd like to book a table at resto_seoul_cheap_vietnamese_6stars,great let me do the reservation,156,<KB> resto_seoul_cheap_vietnamese_6stars, <R_cuisine> vietnamese <R_address> resto_seoul_cheap_vietnamese_6stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 6 
hi,hello what can i help you with today,157,,
may i have a table at resto_seoul_cheap_vietnamese_6stars,great let me do the reservation,157,<KB> resto_seoul_cheap_vietnamese_6stars, <R_cuisine> vietnamese <R_address> resto_seoul_cheap_vietnamese_6stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 6 
hi,hello what can i help you with today,158,,
can you make a restaurant reservation at resto_seoul_moderate_vietnamese_5stars,great let me do the reservation,158,<KB> resto_seoul_moderate_vietnamese_5stars, <R_cuisine> vietnamese <R_address> resto_seoul_moderate_vietnamese_5stars_address <R_location> seoul <R_number> four <R_price> moderate <R_rating> 5 
hello,hello what can i help you with today,159,,
can you make a restaurant reservation at resto_tokyo_cheap_korean_3stars,great let me do the reservation,159,<KB> resto_tokyo_cheap_korean_3stars, <R_cuisine> korean <R_address> resto_tokyo_cheap_korean_3stars_address <R_location> tokyo <R_number> six <R_price> cheap <R_rating> 3 
hi,hello what can i help you with today,160,,
i'd like to book a table at resto_seoul_expensive_cantonese_5stars,great let me do the reservation,160,<KB> resto_seoul_expensive_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_seoul_expensive_cantonese_5stars_address <R_location> seoul <R_number> two <R_price> expensive <R_rating> 5 
good morning,hello what can i help you with today,161,,
can you book a table at resto_tokyo_expensive_japanese_3stars,great let me do the reservation,161,<KB> resto_tokyo_expensive_japanese_3stars, <R_cuisine> japanese <R_address> resto_tokyo_expensive_japanese_3stars_address <R_location> tokyo <R_number> six <R_price> expensive <R_rating> 3 
good morning,hello what can i help you with today,162,,
can you book a table at resto_seoul_expensive_thai_1stars,great let me do the reservation,162,<KB> resto_seoul_expensive_thai_1stars, <R_cuisine> thai <R_address> resto_seoul_expensive_thai_1stars_address <R_location> seoul <R_number> eight <R_price> expensive <R_rating> 1 
good morning,hello what can i help you with today,163,,
can you make a restaurant reservation at resto_seoul_cheap_thai_8stars,great let me do the reservation,163,<KB> resto_seoul_cheap_thai_8stars, <R_cuisine> thai <R_address> resto_seoul_cheap_thai_8stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 8 
good morning,hello what can i help you with today,164,,
i'd like to book a table at resto_bangkok_moderate_japanese_5stars,great let me do the reservation,164,<KB> resto_bangkok_moderate_japanese_5stars, <R_cuisine> japanese <R_address> resto_bangkok_moderate_japanese_5stars_address <R_location> bangkok <R_number> eight <R_price> moderate <R_rating> 5 
hi,hello what can i help you with today,165,,
can you make a restaurant reservation at resto_hanoi_expensive_japanese_1stars,great let me do the reservation,165,<KB> resto_hanoi_expensive_japanese_1stars, <R_cuisine> japanese <R_address> resto_hanoi_expensive_japanese_1stars_address <R_location> hanoi <R_number> six <R_price> expensive <R_rating> 1 
good morning,hello what can i help you with today,166,,
i'd like to book a table at resto_hanoi_moderate_thai_5stars,great let me do the reservation,166,<KB> resto_hanoi_moderate_thai_5stars, <R_cuisine> thai <R_address> resto_hanoi_moderate_thai_5stars_address <R_location> hanoi <R_number> six <R_price> moderate <R_rating> 5 
hi,hello what can i help you with today,167,,
can you book a table at resto_seoul_expensive_thai_6stars,great let me do the reservation,167,<KB> resto_seoul_expensive_thai_6stars, <R_cuisine> thai <R_address> resto_seoul_expensive_thai_6stars_address <R_location> seoul <R_number> six <R_price> expensive <R_rating> 6 
hello,hello what can i help you with today,168,,
can you make a restaurant reservation at resto_bangkok_moderate_thai_4stars,great let me do the reservation,168,<KB> resto_bangkok_moderate_thai_4stars, <R_cuisine> thai <R_address> resto_bangkok_moderate_thai_4stars_address <R_location> bangkok <R_number> six <R_price> moderate <R_rating> 4 
hello,hello what can i help you with today,169,,
i'd like to book a table at resto_bangkok_cheap_thai_3stars,great let me do the reservation,169,<KB> resto_bangkok_cheap_thai_3stars, <R_cuisine> thai <R_address> resto_bangkok_cheap_thai_3stars_address <R_location> bangkok <R_number> eight <R_price> cheap <R_rating> 3 
hi,hello what can i help you with today,170,,
can you book a table at resto_seoul_expensive_thai_5stars,great let me do the reservation,170,<KB> resto_seoul_expensive_thai_5stars, <R_cuisine> thai <R_address> resto_seoul_expensive_thai_5stars_address <R_location> seoul <R_number> six <R_price> expensive <R_rating> 5 
good morning,hello what can i help you with today,171,,
may i have a table at resto_tokyo_moderate_thai_8stars,great let me do the reservation,171,<KB> resto_tokyo_moderate_thai_8stars, <R_cuisine> thai <R_address> resto_tokyo_moderate_thai_8stars_address <R_location> tokyo <R_number> six <R_price> moderate <R_rating> 8 
good morning,hello what can i help you with today,172,,
can you book a table at resto_seoul_moderate_cantonese_5stars,great let me do the reservation,172,<KB> resto_seoul_moderate_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_seoul_moderate_cantonese_5stars_address <R_location> seoul <R_number> four <R_price> moderate <R_rating> 5 
hi,hello what can i help you with today,173,,
may i have a table at resto_seoul_moderate_cantonese_2stars,great let me do the reservation,173,<KB> resto_seoul_moderate_cantonese_2stars, <R_cuisine> cantonese <R_address> resto_seoul_moderate_cantonese_2stars_address <R_location> seoul <R_number> four <R_price> moderate <R_rating> 2 
hi,hello what can i help you with today,174,,
can you make a restaurant reservation at resto_seoul_expensive_japanese_7stars,great let me do the reservation,174,<KB> resto_seoul_expensive_japanese_7stars, <R_cuisine> japanese <R_address> resto_seoul_expensive_japanese_7stars_address <R_location> seoul <R_number> eight <R_price> expensive <R_rating> 7 
good morning,hello what can i help you with today,175,,
i'd like to book a table at resto_beijing_expensive_thai_4stars,great let me do the reservation,175,<KB> resto_beijing_expensive_thai_4stars, <R_cuisine> thai <R_address> resto_beijing_expensive_thai_4stars_address <R_location> beijing <R_number> eight <R_price> expensive <R_rating> 4 
hi,hello what can i help you with today,176,,
i'd like to book a table at resto_tokyo_expensive_korean_8stars,great let me do the reservation,176,<KB> resto_tokyo_expensive_korean_8stars, <R_cuisine> korean <R_address> resto_tokyo_expensive_korean_8stars_address <R_location> tokyo <R_number> six <R_price> expensive <R_rating> 8 
hi,hello what can i help you with today,177,,
can you make a restaurant reservation at resto_bangkok_cheap_vietnamese_5stars,great let me do the reservation,177,<KB> resto_bangkok_cheap_vietnamese_5stars, <R_cuisine> vietnamese <R_address> resto_bangkok_cheap_vietnamese_5stars_address <R_location> bangkok <R_number> two <R_price> cheap <R_rating> 5 
good morning,hello what can i help you with today,178,,
can you book a table at resto_tokyo_cheap_cantonese_5stars,great let me do the reservation,178,<KB> resto_tokyo_cheap_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_tokyo_cheap_cantonese_5stars_address <R_location> tokyo <R_number> four <R_price> cheap <R_rating> 5 
hello,hello what can i help you with today,179,,
can you book a table at resto_bangkok_moderate_thai_4stars,great let me do the reservation,179,<KB> resto_bangkok_moderate_thai_4stars, <R_cuisine> thai <R_address> resto_bangkok_moderate_thai_4stars_address <R_location> bangkok <R_number> six <R_price> moderate <R_rating> 4 
good morning,hello what can i help you with today,180,,
can you book a table at resto_seoul_cheap_vietnamese_6stars,great let me do the reservation,180,<KB> resto_seoul_cheap_vietnamese_6stars, <R_cuisine> vietnamese <R_address> resto_seoul_cheap_vietnamese_6stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 6 
good morning,hello what can i help you with today,181,,
may i have a table at resto_hanoi_cheap_cantonese_5stars,great let me do the reservation,181,<KB> resto_hanoi_cheap_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_hanoi_cheap_cantonese_5stars_address <R_location> hanoi <R_number> eight <R_price> cheap <R_rating> 5 
hi,hello what can i help you with today,182,,
i'd like to book a table at resto_tokyo_expensive_thai_6stars,great let me do the reservation,182,<KB> resto_tokyo_expensive_thai_6stars, <R_cuisine> thai <R_address> resto_tokyo_expensive_thai_6stars_address <R_location> tokyo <R_number> four <R_price> expensive <R_rating> 6 
hi,hello what can i help you with today,183,,
can you book a table at resto_bangkok_expensive_korean_3stars,great let me do the reservation,183,<KB> resto_bangkok_expensive_korean_3stars, <R_cuisine> korean <R_address> resto_bangkok_expensive_korean_3stars_address <R_location> bangkok <R_number> eight <R_price> expensive <R_rating> 3 
hello,hello what can i help you with today,184,,
can you book a table at resto_hanoi_moderate_japanese_2stars,great let me do the reservation,184,<KB> resto_hanoi_moderate_japanese_2stars, <R_cuisine> japanese <R_address> resto_hanoi_moderate_japanese_2stars_address <R_location> hanoi <R_number> four <R_price> moderate <R_rating> 2 
good morning,hello what can i help you with today,185,,
may i have a table at resto_beijing_expensive_thai_6stars,great let me do the reservation,185,<KB> resto_beijing_expensive_thai_6stars, <R_cuisine> thai <R_address> resto_beijing_expensive_thai_6stars_address <R_location> beijing <R_number> two <R_price> expensive <R_rating> 6 
hi,hello what can i help you with today,186,,
can you book a table at resto_bangkok_cheap_japanese_7stars,great let me do the reservation,186,<KB> resto_bangkok_cheap_japanese_7stars, <R_cuisine> japanese <R_address> resto_bangkok_cheap_japanese_7stars_address <R_location> bangkok <R_number> eight <R_price> cheap <R_rating> 7 
good morning,hello what can i help you with today,187,,
can you make a restaurant reservation at resto_tokyo_expensive_cantonese_2stars,great let me do the reservation,187,<KB> resto_tokyo_expensive_cantonese_2stars, <R_cuisine> cantonese <R_address> resto_tokyo_expensive_cantonese_2stars_address <R_location> tokyo <R_number> six <R_price> expensive <R_rating> 2 
hello,hello what can i help you with today,188,,
can you make a restaurant reservation at resto_hanoi_expensive_thai_7stars,great let me do the reservation,188,<KB> resto_hanoi_expensive_thai_7stars, <R_cuisine> thai <R_address> resto_hanoi_expensive_thai_7stars_address <R_location> hanoi <R_number> six <R_price> expensive <R_rating> 7 
hello,hello what can i help you with today,189,,
may i have a table at resto_hanoi_moderate_thai_3stars,great let me do the reservation,189,<KB> resto_hanoi_moderate_thai_3stars, <R_cuisine> thai <R_address> resto_hanoi_moderate_thai_3stars_address <R_location> hanoi <R_number> eight <R_price> moderate <R_rating> 3 
hi,hello what can i help you with today,190,,
can you book a table at resto_bangkok_cheap_japanese_1stars,great let me do the reservation,190,<KB> resto_bangkok_cheap_japanese_1stars, <R_cuisine> japanese <R_address> resto_bangkok_cheap_japanese_1stars_address <R_location> bangkok <R_number> eight <R_price> cheap <R_rating> 1 
good morning,hello what can i help you with today,191,,
i'd like to book a table at resto_tokyo_expensive_cantonese_7stars,great let me do the reservation,191,<KB> resto_tokyo_expensive_cantonese_7stars, <R_cuisine> cantonese <R_address> resto_tokyo_expensive_cantonese_7stars_address <R_location> tokyo <R_number> four <R_price> expensive <R_rating> 7 
hi,hello what can i help you with today,192,,
i'd like to book a table at resto_beijing_cheap_korean_8stars,great let me do the reservation,192,<KB> resto_beijing_cheap_korean_8stars, <R_cuisine> korean <R_address> resto_beijing_cheap_korean_8stars_address <R_location> beijing <R_number> two <R_price> cheap <R_rating> 8 
good morning,hello what can i help you with today,193,,
may i have a table at resto_tokyo_expensive_cantonese_2stars,great let me do the reservation,193,<KB> resto_tokyo_expensive_cantonese_2stars, <R_cuisine> cantonese <R_address> resto_tokyo_expensive_cantonese_2stars_address <R_location> tokyo <R_number> six <R_price> expensive <R_rating> 2 
hello,hello what can i help you with today,194,,
may i have a table at resto_seoul_expensive_thai_4stars,great let me do the reservation,194,<KB> resto_seoul_expensive_thai_4stars, <R_cuisine> thai <R_address> resto_seoul_expensive_thai_4stars_address <R_location> seoul <R_number> eight <R_price> expensive <R_rating> 4 
hi,hello what can i help you with today,195,,
i'd like to book a table at resto_tokyo_moderate_korean_1stars,great let me do the reservation,195,<KB> resto_tokyo_moderate_korean_1stars, <R_cuisine> korean <R_address> resto_tokyo_moderate_korean_1stars_address <R_location> tokyo <R_number> six <R_price> moderate <R_rating> 1 
good morning,hello what can i help you with today,196,,
may i have a table at resto_seoul_cheap_thai_8stars,great let me do the reservation,196,<KB> resto_seoul_cheap_thai_8stars, <R_cuisine> thai <R_address> resto_seoul_cheap_thai_8stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 8 
good morning,hello what can i help you with today,197,,
can you make a restaurant reservation at resto_bangkok_moderate_cantonese_8stars,great let me do the reservation,197,<KB> resto_bangkok_moderate_cantonese_8stars, <R_cuisine> cantonese <R_address> resto_bangkok_moderate_cantonese_8stars_address <R_location> bangkok <R_number> two <R_price> moderate <R_rating> 8 
good morning,hello what can i help you with today,198,,
i'd like to book a table at resto_seoul_cheap_cantonese_2stars,great let me do the reservation,198,<KB> resto_seoul_cheap_cantonese_2stars, <R_cuisine> cantonese <R_address> resto_seoul_cheap_cantonese_2stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 2 
good morning,hello what can i help you with today,199,,
can you book a table at resto_bangkok_cheap_vietnamese_5stars,great let me do the reservation,199,<KB> resto_bangkok_cheap_vietnamese_5stars, <R_cuisine> vietnamese <R_address> resto_bangkok_cheap_vietnamese_5stars_address <R_location> bangkok <R_number> two <R_price> cheap <R_rating> 5 
good morning,hello what can i help you with today,200,,
i'd like to book a table at resto_hanoi_expensive_korean_3stars,great let me do the reservation,200,<KB> resto_hanoi_expensive_korean_3stars, <R_cuisine> korean <R_address> resto_hanoi_expensive_korean_3stars_address <R_location> hanoi <R_number> two <R_price> expensive <R_rating> 3 
hi,hello what can i help you with today,201,,
i'd like to book a table at resto_tokyo_cheap_japanese_2stars,great let me do the reservation,201,<KB> resto_tokyo_cheap_japanese_2stars, <R_cuisine> japanese <R_address> resto_tokyo_cheap_japanese_2stars_address <R_location> tokyo <R_number> two <R_price> cheap <R_rating> 2 
hi,hello what can i help you with today,202,,
may i have a table at resto_seoul_cheap_korean_6stars,great let me do the reservation,202,<KB> resto_seoul_cheap_korean_6stars, <R_cuisine> korean <R_address> resto_seoul_cheap_korean_6stars_address <R_location> seoul <R_number> eight <R_price> cheap <R_rating> 6 
good morning,hello what can i help you with today,203,,
can you make a restaurant reservation at resto_bangkok_moderate_cantonese_7stars,great let me do the reservation,203,<KB> resto_bangkok_moderate_cantonese_7stars, <R_cuisine> cantonese <R_address> resto_bangkok_moderate_cantonese_7stars_address <R_location> bangkok <R_number> two <R_price> moderate <R_rating> 7 
hello,hello what can i help you with today,204,,
can you make a restaurant reservation at resto_beijing_cheap_vietnamese_6stars,great let me do the reservation,204,<KB> resto_beijing_cheap_vietnamese_6stars, <R_cuisine> vietnamese <R_address> resto_beijing_cheap_vietnamese_6stars_address <R_location> beijing <R_number> eight <R_price> cheap <R_rating> 6 
hi,hello what can i help you with today,205,,
i'd like to book a table at resto_seoul_cheap_japanese_5stars,great let me do the reservation,205,<KB> resto_seoul_cheap_japanese_5stars, <R_cuisine> japanese <R_address> resto_seoul_cheap_japanese_5stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 5 
good morning,hello what can i help you with today,206,,
can you make a restaurant reservation at resto_bangkok_moderate_japanese_1stars,great let me do the reservation,206,<KB> resto_bangkok_moderate_japanese_1stars, <R_cuisine> japanese <R_address> resto_bangkok_moderate_japanese_1stars_address <R_location> bangkok <R_number> two <R_price> moderate <R_rating> 1 
hi,hello what can i help you with today,207,,
i'd like to book a table at resto_beijing_cheap_thai_1stars,great let me do the reservation,207,<KB> resto_beijing_cheap_thai_1stars, <R_cuisine> thai <R_address> resto_beijing_cheap_thai_1stars_address <R_location> beijing <R_number> two <R_price> cheap <R_rating> 1 
good morning,hello what can i help you with today,208,,
can you book a table at resto_beijing_moderate_thai_6stars,great let me do the reservation,208,<KB> resto_beijing_moderate_thai_6stars, <R_cuisine> thai <R_address> resto_beijing_moderate_thai_6stars_address <R_location> beijing <R_number> two <R_price> moderate <R_rating> 6 
good morning,hello what can i help you with today,209,,
can you make a restaurant reservation at resto_hanoi_cheap_vietnamese_3stars,great let me do the reservation,209,<KB> resto_hanoi_cheap_vietnamese_3stars, <R_cuisine> vietnamese <R_address> resto_hanoi_cheap_vietnamese_3stars_address <R_location> hanoi <R_number> eight <R_price> cheap <R_rating> 3 
good morning,hello what can i help you with today,210,,
i'd like to book a table at resto_hanoi_cheap_cantonese_5stars,great let me do the reservation,210,<KB> resto_hanoi_cheap_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_hanoi_cheap_cantonese_5stars_address <R_location> hanoi <R_number> eight <R_price> cheap <R_rating> 5 
hi,hello what can i help you with today,211,,
can you make a restaurant reservation at resto_beijing_moderate_vietnamese_2stars,great let me do the reservation,211,<KB> resto_beijing_moderate_vietnamese_2stars, <R_cuisine> vietnamese <R_address> resto_beijing_moderate_vietnamese_2stars_address <R_location> beijing <R_number> six <R_price> moderate <R_rating> 2 
good morning,hello what can i help you with today,212,,
can you make a restaurant reservation at resto_bangkok_moderate_cantonese_8stars,great let me do the reservation,212,<KB> resto_bangkok_moderate_cantonese_8stars, <R_cuisine> cantonese <R_address> resto_bangkok_moderate_cantonese_8stars_address <R_location> bangkok <R_number> two <R_price> moderate <R_rating> 8 
hello,hello what can i help you with today,213,,
i'd like to book a table at resto_seoul_moderate_japanese_2stars,great let me do the reservation,213,<KB> resto_seoul_moderate_japanese_2stars, <R_cuisine> japanese <R_address> resto_seoul_moderate_japanese_2stars_address <R_location> seoul <R_number> six <R_price> moderate <R_rating> 2 
good morning,hello what can i help you with today,214,,
may i have a table at resto_tokyo_cheap_thai_6stars,great let me do the reservation,214,<KB> resto_tokyo_cheap_thai_6stars, <R_cuisine> thai <R_address> resto_tokyo_cheap_thai_6stars_address <R_location> tokyo <R_number> two <R_price> cheap <R_rating> 6 
hi,hello what can i help you with today,215,,
may i have a table at resto_bangkok_cheap_vietnamese_7stars,great let me do the reservation,215,<KB> resto_bangkok_cheap_vietnamese_7stars, <R_cuisine> vietnamese <R_address> resto_bangkok_cheap_vietnamese_7stars_address <R_location> bangkok <R_number> eight <R_price> cheap <R_rating> 7 
hi,hello what can i help you with today,216,,
i'd like to book a table at resto_bangkok_moderate_japanese_5stars,great let me do the reservation,216,<KB> resto_bangkok_moderate_japanese_5stars, <R_cuisine> japanese <R_address> resto_bangkok_moderate_japanese_5stars_address <R_location> bangkok <R_number> eight <R_price> moderate <R_rating> 5 
hi,hello what can i help you with today,217,,
i'd like to book a table at resto_bangkok_cheap_thai_4stars,great let me do the reservation,217,<KB> resto_bangkok_cheap_thai_4stars, <R_cuisine> thai <R_address> resto_bangkok_cheap_thai_4stars_address <R_location> bangkok <R_number> six <R_price> cheap <R_rating> 4 
hello,hello what can i help you with today,218,,
may i have a table at resto_tokyo_expensive_cantonese_8stars,great let me do the reservation,218,<KB> resto_tokyo_expensive_cantonese_8stars, <R_cuisine> cantonese <R_address> resto_tokyo_expensive_cantonese_8stars_address <R_location> tokyo <R_number> six <R_price> expensive <R_rating> 8 
hi,hello what can i help you with today,219,,
can you book a table at resto_hanoi_expensive_korean_1stars,great let me do the reservation,219,<KB> resto_hanoi_expensive_korean_1stars, <R_cuisine> korean <R_address> resto_hanoi_expensive_korean_1stars_address <R_location> hanoi <R_number> two <R_price> expensive <R_rating> 1 
hello,hello what can i help you with today,220,,
can you book a table at resto_hanoi_moderate_thai_3stars,great let me do the reservation,220,<KB> resto_hanoi_moderate_thai_3stars, <R_cuisine> thai <R_address> resto_hanoi_moderate_thai_3stars_address <R_location> hanoi <R_number> eight <R_price> moderate <R_rating> 3 
hi,hello what can i help you with today,221,,
can you make a restaurant reservation at resto_seoul_moderate_vietnamese_5stars,great let me do the reservation,221,<KB> resto_seoul_moderate_vietnamese_5stars, <R_cuisine> vietnamese <R_address> resto_seoul_moderate_vietnamese_5stars_address <R_location> seoul <R_number> four <R_price> moderate <R_rating> 5 
hello,hello what can i help you with today,222,,
i'd like to book a table at resto_seoul_cheap_vietnamese_6stars,great let me do the reservation,222,<KB> resto_seoul_cheap_vietnamese_6stars, <R_cuisine> vietnamese <R_address> resto_seoul_cheap_vietnamese_6stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 6 
hello,hello what can i help you with today,223,,
i'd like to book a table at resto_bangkok_cheap_japanese_1stars,great let me do the reservation,223,<KB> resto_bangkok_cheap_japanese_1stars, <R_cuisine> japanese <R_address> resto_bangkok_cheap_japanese_1stars_address <R_location> bangkok <R_number> eight <R_price> cheap <R_rating> 1 
hello,hello what can i help you with today,224,,
can you make a restaurant reservation at resto_hanoi_cheap_korean_5stars,great let me do the reservation,224,<KB> resto_hanoi_cheap_korean_5stars, <R_cuisine> korean <R_address> resto_hanoi_cheap_korean_5stars_address <R_location> hanoi <R_number> eight <R_price> cheap <R_rating> 5 
good morning,hello what can i help you with today,225,,
can you make a restaurant reservation at resto_beijing_cheap_korean_8stars,great let me do the reservation,225,<KB> resto_beijing_cheap_korean_8stars, <R_cuisine> korean <R_address> resto_beijing_cheap_korean_8stars_address <R_location> beijing <R_number> two <R_price> cheap <R_rating> 8 
good morning,hello what can i help you with today,226,,
i'd like to book a table at resto_tokyo_moderate_vietnamese_1stars,great let me do the reservation,226,<KB> resto_tokyo_moderate_vietnamese_1stars, <R_cuisine> vietnamese <R_address> resto_tokyo_moderate_vietnamese_1stars_address <R_location> tokyo <R_number> two <R_price> moderate <R_rating> 1 
hi,hello what can i help you with today,227,,
may i have a table at resto_bangkok_moderate_thai_1stars,great let me do the reservation,227,<KB> resto_bangkok_moderate_thai_1stars, <R_cuisine> thai <R_address> resto_bangkok_moderate_thai_1stars_address <R_location> bangkok <R_number> two <R_price> moderate <R_rating> 1 
hi,hello what can i help you with today,228,,
