,source_text,target_text,pred_text
993,<query> i'd like to book a table,i'm on it,i'm on it
994,<context> <user> i'd like to book a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
995,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with french cuisine,where should it be,where should it be
996,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with french cuisine <system> where should it be <query> in paris,how many people would be in your party,how many people would be in your party
997,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with french cuisine <system> where should it be <user> in paris <system> how many people would be in your party <query> for two people please,which price range are looking for,which price range are looking for
998,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with french cuisine <system> where should it be <user> in paris <system> how many people would be in your party <user> for two people please <system> which price range are looking for <query> i am looking for a cheap restaurant,ok let me look into some options for you,ok let me look into some options for you
999,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with french cuisine <system> where should it be <user> in paris <system> how many people would be in your party <user> for two people please <system> which price range are looking for <user> i am looking for a cheap restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call french paris two cheap,api_call french paris two cheap
1000,<query> can you make a restaurant reservation in a moderate price range for two with spanish cuisine,i'm on it,i'm on it
1001,<context> <user> can you make a restaurant reservation in a moderate price range for two with spanish cuisine <system> i'm on it <query> <SILENCE>,where should it be,where should it be
1002,<context> <user> can you make a restaurant reservation in a moderate price range for two with spanish cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <query> in london,ok let me look into some options for you,ok let me look into it
1003,<context> <user> can you make a restaurant reservation in a moderate price range for two with spanish cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> in london <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish london two moderate,api_call spanish london two moderate
1004,<query> i'd like to book a table in bombay in a cheap price range with italian food,i'm on it,i'm on it
1005,<context> <user> i'd like to book a table in bombay in a cheap price range with italian food <system> i'm on it <query> <SILENCE>,how many people would be in your party,how many people would be in your party
1006,<context> <user> i'd like to book a table in bombay in a cheap price range with italian food <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <query> for two people please,ok let me look into some options for you,ok let me look into some options for you
1007,<context> <user> i'd like to book a table in bombay in a cheap price range with italian food <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> for two people please <system> ok let me look into some options for you <query> <SILENCE>,api_call italian bombay two cheap,api_call italian bombay two cheap
1008,<query> can you book a table in london for two,i'm on it,i'm on it
1009,<context> <user> can you book a table in london for two <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
1010,<context> <user> can you book a table in london for two <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with british food,which price range are looking for,which price range are looking for
1011,<context> <user> can you book a table in london for two <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with british food <system> which price range are looking for <query> in a cheap price range please,ok let me look into some options for you,ok let me look into some options for you
1012,<context> <user> can you book a table in london for two <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with british food <system> which price range are looking for <user> in a cheap price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call british london two cheap,api_call british london two cheap
1013,<query> may i have a table with british food,i'm on it,i'm on it
1014,<context> <user> may i have a table with british food <system> i'm on it <query> <SILENCE>,where should it be,where should it be
1015,<context> <user> may i have a table with british food <system> i'm on it <user> <SILENCE> <system> where should it be <query> in paris,how many people would be in your party,how many people would be in your party
1016,<context> <user> may i have a table with british food <system> i'm on it <user> <SILENCE> <system> where should it be <user> in paris <system> how many people would be in your party <query> we will be eight,which price range are looking for,which price range are looking for
1017,<context> <user> may i have a table with british food <system> i'm on it <user> <SILENCE> <system> where should it be <user> in paris <system> how many people would be in your party <user> we will be eight <system> which price range are looking for <query> i am looking for a moderate restaurant,ok let me look into some options for you,ok let me look into some options for you
1018,<context> <user> may i have a table with british food <system> i'm on it <user> <SILENCE> <system> where should it be <user> in paris <system> how many people would be in your party <user> we will be eight <system> which price range are looking for <user> i am looking for a moderate restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call british paris eight moderate,api_call british paris eight moderate
1019,<query> can you make a restaurant reservation with spanish food in london in a expensive price range for six,i'm on it,i'm on it
1020,<context> <user> can you make a restaurant reservation with spanish food in london in a expensive price range for six <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
1021,<context> <user> can you make a restaurant reservation with spanish food in london in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish london six expensive,api_call spanish london six expensive
1022,<query> i'd like to book a table with spanish cuisine in london in a moderate price range for two,i'm on it,i'm on it
1023,<context> <user> i'd like to book a table with spanish cuisine in london in a moderate price range for two <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
1024,<context> <user> i'd like to book a table with spanish cuisine in london in a moderate price range for two <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish london two moderate,api_call spanish london two moderate
1025,<query> can you book a table for four people in bombay with indian food,i'm on it,i'm on it
1026,<context> <user> can you book a table for four people in bombay with indian food <system> i'm on it <query> <SILENCE>,which price range are looking for,which price range are looking for
1027,<context> <user> can you book a table for four people in bombay with indian food <system> i'm on it <user> <SILENCE> <system> which price range are looking for <query> in a moderate price range please,ok let me look into some options for you,ok let me look into some options for you
1028,<context> <user> can you book a table for four people in bombay with indian food <system> i'm on it <user> <SILENCE> <system> which price range are looking for <user> in a moderate price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call indian bombay four moderate,api_call indian bombay four moderate
1029,<query> may i have a table in paris,i'm on it,i'm on it
1030,<context> <user> may i have a table in paris <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a form type
1031,<context> <user> may i have a table in paris <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with italian food,how many people would be in your party,how many people would be in your party
1032,<context> <user> may i have a table in paris <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with italian food <system> how many people would be in your party <query> for six people please,which price range are looking for,which price range are looking for
1033,<context> <user> may i have a table in paris <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with italian food <system> how many people would be in your party <user> for six people please <system> which price range are looking for <query> in a cheap price range please,ok let me look into some options for you,ok let me look into some options for you
1034,<context> <user> may i have a table in paris <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with italian food <system> how many people would be in your party <user> for six people please <system> which price range are looking for <user> in a cheap price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call italian paris six cheap,api_call italian paris six cheap
1035,<query> can you make a restaurant reservation,i'm on it,i'm on it
1036,<context> <user> can you make a restaurant reservation <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
1037,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love british food,where should it be,where should it be
1038,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love british food <system> where should it be <query> in madrid,how many people would be in your party,how many people would be in your party
1039,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love british food <system> where should it be <user> in madrid <system> how many people would be in your party <query> we will be eight,which price range are looking for,which price range are looking for
1040,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love british food <system> where should it be <user> in madrid <system> how many people would be in your party <user> we will be eight <system> which price range are looking for <query> i am looking for a moderate restaurant,ok let me look into some options for you,ok let me look into some options for you
1041,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love british food <system> where should it be <user> in madrid <system> how many people would be in your party <user> we will be eight <system> which price range are looking for <user> i am looking for a moderate restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call british madrid eight moderate,api_call british madrid eight moderate
1042,<query> i'd like to book a table in madrid with indian cuisine for four people in a moderate price range,i'm on it,i'm on it
1043,<context> <user> i'd like to book a table in madrid with indian cuisine for four people in a moderate price range <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
1044,<context> <user> i'd like to book a table in madrid with indian cuisine for four people in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call indian madrid four moderate,api_call indian madrid four moderate
1045,<query> i'd like to book a table in a expensive price range with spanish cuisine,i'm on it,i'm on it
1046,<context> <user> i'd like to book a table in a expensive price range with spanish cuisine <system> i'm on it <query> <SILENCE>,where should it be,where should it be
1047,<context> <user> i'd like to book a table in a expensive price range with spanish cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <query> in rome,how many people would be in your party,how many people would be in your party
1048,<context> <user> i'd like to book a table in a expensive price range with spanish cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> in rome <system> how many people would be in your party <query> for four please,ok let me look into some options for you,ok let me look into some options for you
1049,<context> <user> i'd like to book a table in a expensive price range with spanish cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> in rome <system> how many people would be in your party <user> for four please <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish rome four expensive,api_call spanish rome four expensive
1050,<query> can you book a table with british cuisine for eight in paris,i'm on it,i'm on it
1051,<context> <user> can you book a table with british cuisine for eight in paris <system> i'm on it <query> <SILENCE>,which price range are looking for,which price range are looking for
1052,<context> <user> can you book a table with british cuisine for eight in paris <system> i'm on it <user> <SILENCE> <system> which price range are looking for <query> i am looking for a moderate restaurant,ok let me look into some options for you,ok let me look into some options for you
1053,<context> <user> can you book a table with british cuisine for eight in paris <system> i'm on it <user> <SILENCE> <system> which price range are looking for <user> i am looking for a moderate restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call british paris eight moderate,api_call british paris eight moderate
1054,<query> can you make a restaurant reservation,i'm on it,i'm on it
1055,<context> <user> can you make a restaurant reservation <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
1056,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love spanish food,where should it be,where should it be
1057,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love spanish food <system> where should it be <query> rome please,how many people would be in your party,where should it be
1058,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love spanish food <system> where should it be <user> rome please <system> how many people would be in your party <query> for eight please,which price range are looking for,which price range are looking for
1059,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love spanish food <system> where should it be <user> rome please <system> how many people would be in your party <user> for eight please <system> which price range are looking for <query> in a expensive price range please,ok let me look into some options for you,ok let me look into some options for you
1060,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love spanish food <system> where should it be <user> rome please <system> how many people would be in your party <user> for eight please <system> which price range are looking for <user> in a expensive price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish rome eight expensive,api_call spanish rome eight expensive
1061,<query> can you book a table,i'm on it,i'm on it
1062,<context> <user> can you book a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
1063,<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with spanish cuisine,where should it be,where should it be
1064,<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish cuisine <system> where should it be <query> rome please,how many people would be in your party,how many people would be in your party
1065,<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish cuisine <system> where should it be <user> rome please <system> how many people would be in your party <query> for four people please,which price range are looking for,which price range are looking for
1066,<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish cuisine <system> where should it be <user> rome please <system> how many people would be in your party <user> for four people please <system> which price range are looking for <query> i am looking for a expensive restaurant,ok let me look into some options for you,ok let me look into some options for you
1067,<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish cuisine <system> where should it be <user> rome please <system> how many people would be in your party <user> for four people please <system> which price range are looking for <user> i am looking for a expensive restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish rome four expensive,api_call spanish rome four expensive
1068,<query> can you make a restaurant reservation in madrid with indian cuisine for four,i'm on it,i'm on it
1069,<context> <user> can you make a restaurant reservation in madrid with indian cuisine for four <system> i'm on it <query> <SILENCE>,which price range are looking for,which price range are looking for
1070,<context> <user> can you make a restaurant reservation in madrid with indian cuisine for four <system> i'm on it <user> <SILENCE> <system> which price range are looking for <query> i am looking for a moderate restaurant,ok let me look into some options for you,ok let me look into some options for you
1071,<context> <user> can you make a restaurant reservation in madrid with indian cuisine for four <system> i'm on it <user> <SILENCE> <system> which price range are looking for <user> i am looking for a moderate restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call indian madrid four moderate,api_call indian madrid four moderate
1072,<query> can you book a table in a cheap price range,i'm on it,i'm on it
1073,<context> <user> can you book a table in a cheap price range <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
1074,<context> <user> can you book a table in a cheap price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love spanish food,where should it be,where should it be
1075,<context> <user> can you book a table in a cheap price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love spanish food <system> where should it be <query> in madrid,how many people would be in your party,how many people would be in your party
1076,<context> <user> can you book a table in a cheap price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love spanish food <system> where should it be <user> in madrid <system> how many people would be in your party <query> for eight people please,ok let me look into some options for you,ok let me look into some options for you
1077,<context> <user> can you book a table in a cheap price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love spanish food <system> where should it be <user> in madrid <system> how many people would be in your party <user> for eight people please <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish madrid eight cheap,api_call spanish madrid eight cheap
1078,<query> i'd like to book a table with indian cuisine,i'm on it,i'm on it
1079,<context> <user> i'd like to book a table with indian cuisine <system> i'm on it <query> <SILENCE>,where should it be,where should it be
1080,<context> <user> i'd like to book a table with indian cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <query> paris please,how many people would be in your party,how many people would be in your party
1081,<context> <user> i'd like to book a table with indian cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> paris please <system> how many people would be in your party <query> we will be four,which price range are looking for,where should it be
1082,<context> <user> i'd like to book a table with indian cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> paris please <system> how many people would be in your party <user> we will be four <system> which price range are looking for <query> i am looking for a expensive restaurant,ok let me look into some options for you,ok let me look into some options for you
1083,<context> <user> i'd like to book a table with indian cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> paris please <system> how many people would be in your party <user> we will be four <system> which price range are looking for <user> i am looking for a expensive restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call indian paris four expensive,api_call indian paris four expensive
1084,<query> can you make a restaurant reservation in a cheap price range with french cuisine,i'm on it,i'm on it
1085,<context> <user> can you make a restaurant reservation in a cheap price range with french cuisine <system> i'm on it <query> <SILENCE>,where should it be,where should it be
1086,<context> <user> can you make a restaurant reservation in a cheap price range with french cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <query> london please,how many people would be in your party,how many people would be in your party
1087,<context> <user> can you make a restaurant reservation in a cheap price range with french cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> london please <system> how many people would be in your party <query> for six please,ok let me look into some options for you,ok let me look into some options for you
1088,<context> <user> can you make a restaurant reservation in a cheap price range with french cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> london please <system> how many people would be in your party <user> for six please <system> ok let me look into some options for you <query> <SILENCE>,api_call french london six cheap,api_call french london six cheap
1089,<query> i'd like to book a table,i'm on it,i'm on it
1090,<context> <user> i'd like to book a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,where should it be
1091,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love spanish food,where should it be,where should it be
1092,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love spanish food <system> where should it be <query> london please,how many people would be in your party,how many people would be in your party
1093,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love spanish food <system> where should it be <user> london please <system> how many people would be in your party <query> for four people please,which price range are looking for,which price range are looking for
1094,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love spanish food <system> where should it be <user> london please <system> how many people would be in your party <user> for four people please <system> which price range are looking for <query> in a moderate price range please,ok let me look into some options for you,ok let me look into some options for you
1095,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love spanish food <system> where should it be <user> london please <system> how many people would be in your party <user> for four people please <system> which price range are looking for <user> in a moderate price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish london four moderate,api_call spanish london four moderate
1096,<query> may i have a table in a cheap price range with british cuisine for four in london,i'm on it,i'm on it
1097,<context> <user> may i have a table in a cheap price range with british cuisine for four in london <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
1098,<context> <user> may i have a table in a cheap price range with british cuisine for four in london <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call british london four cheap,api_call british london four cheap
1099,<query> may i have a table in a cheap price range,i'm on it,i'm on it
1100,<context> <user> may i have a table in a cheap price range <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
1101,<context> <user> may i have a table in a cheap price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love british food,where should it be,where should it be
1102,<context> <user> may i have a table in a cheap price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love british food <system> where should it be <query> in bombay,how many people would be in your party,how many people would be in your party
1103,<context> <user> may i have a table in a cheap price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love british food <system> where should it be <user> in bombay <system> how many people would be in your party <query> for two people please,ok let me look into some options for you,ok let me look into some options for you
1104,<context> <user> may i have a table in a cheap price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love british food <system> where should it be <user> in bombay <system> how many people would be in your party <user> for two people please <system> ok let me look into some options for you <query> <SILENCE>,api_call british bombay two cheap,api_call british bombay two cheap
1105,<query> i'd like to book a table in a expensive price range with french cuisine,i'm on it,i'm on it
1106,<context> <user> i'd like to book a table in a expensive price range with french cuisine <system> i'm on it <query> <SILENCE>,where should it be,where should it be
1107,<context> <user> i'd like to book a table in a expensive price range with french cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <query> in bombay,how many people would be in your party,how many people would be in your party
1108,<context> <user> i'd like to book a table in a expensive price range with french cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> in bombay <system> how many people would be in your party <query> for six please,ok let me look into some options for you,ok let me look into some options for you
1109,<context> <user> i'd like to book a table in a expensive price range with french cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> in bombay <system> how many people would be in your party <user> for six please <system> ok let me look into some options for you <query> <SILENCE>,api_call french bombay six expensive,api_call french bombay six expensive
1110,<query> can you make a restaurant reservation for six people in bombay with french food in a moderate price range,i'm on it,i'm on it
1111,<context> <user> can you make a restaurant reservation for six people in bombay with french food in a moderate price range <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
1112,<context> <user> can you make a restaurant reservation for six people in bombay with french food in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call french bombay six moderate,api_call french bombay six moderate
1113,<query> i'd like to book a table in rome for four with spanish food,i'm on it,i'm on it
1114,<context> <user> i'd like to book a table in rome for four with spanish food <system> i'm on it <query> <SILENCE>,which price range are looking for,which price range are looking for
1115,<context> <user> i'd like to book a table in rome for four with spanish food <system> i'm on it <user> <SILENCE> <system> which price range are looking for <query> in a moderate price range please,ok let me look into some options for you,ok let me look into some options for you
1116,<context> <user> i'd like to book a table in rome for four with spanish food <system> i'm on it <user> <SILENCE> <system> which price range are looking for <user> in a moderate price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish rome four moderate,api_call spanish rome four moderate
1117,<query> can you book a table in rome,i'm on it,i'm on it
1118,<context> <user> can you book a table in rome <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
1119,<context> <user> can you book a table in rome <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with french food,how many people would be in your party,how many people would be in your party
1120,<context> <user> can you book a table in rome <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with french food <system> how many people would be in your party <query> for four people please,which price range are looking for,which price range are looking for
1121,<context> <user> can you book a table in rome <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with french food <system> how many people would be in your party <user> for four people please <system> which price range are looking for <query> in a cheap price range please,ok let me look into some options for you,ok let me look into some options for you
1122,<context> <user> can you book a table in rome <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with french food <system> how many people would be in your party <user> for four people please <system> which price range are looking for <user> in a cheap price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call french rome four cheap,api_call french rome four cheap
1123,<query> can you book a table for four in a expensive price range with indian cuisine in madrid,i'm on it,i'm on it
1124,<context> <user> can you book a table for four in a expensive price range with indian cuisine in madrid <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
1125,<context> <user> can you book a table for four in a expensive price range with indian cuisine in madrid <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call indian madrid four expensive,api_call indian madrid four expensive
1126,<query> can you book a table,i'm on it,i'm on it
1127,<context> <user> can you book a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
1128,<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love spanish food,where should it be,where should it be
1129,<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love spanish food <system> where should it be <query> rome please,how many people would be in your party,how many people would be in your party
1130,<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love spanish food <system> where should it be <user> rome please <system> how many people would be in your party <query> for four please,which price range are looking for,which price range are looking for
1131,<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love spanish food <system> where should it be <user> rome please <system> how many people would be in your party <user> for four please <system> which price range are looking for <query> i am looking for a cheap restaurant,ok let me look into some options for you,ok let me look into some options for you
1132,<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love spanish food <system> where should it be <user> rome please <system> how many people would be in your party <user> for four please <system> which price range are looking for <user> i am looking for a cheap restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish rome four cheap,api_call spanish rome four cheap
1133,<query> can you book a table in a moderate price range for two people,i'm on it,i'm on it
1134,<context> <user> can you book a table in a moderate price range for two people <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,where should it be
1135,<context> <user> can you book a table in a moderate price range for two people <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with indian cuisine,where should it be,where should it be
1136,<context> <user> can you book a table in a moderate price range for two people <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with indian cuisine <system> where should it be <query> london please,ok let me look into some options for you,ok let me look into some options for you
1137,<context> <user> can you book a table in a moderate price range for two people <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with indian cuisine <system> where should it be <user> london please <system> ok let me look into some options for you <query> <SILENCE>,api_call indian london two moderate,api_call indian london two moderate
1138,<query> i'd like to book a table,i'm on it,i'm on it
1139,<context> <user> i'd like to book a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
1140,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love french food,where should it be,where should it be
1141,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love french food <system> where should it be <query> in london,how many people would be in your party,how many people would be in your party
1142,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love french food <system> where should it be <user> in london <system> how many people would be in your party <query> for six please,which price range are looking for,which price range are looking for
1143,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love french food <system> where should it be <user> in london <system> how many people would be in your party <user> for six please <system> which price range are looking for <query> i am looking for a expensive restaurant,ok let me look into some options for you,ok let me look into some options for you
1144,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love french food <system> where should it be <user> in london <system> how many people would be in your party <user> for six please <system> which price range are looking for <user> i am looking for a expensive restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call french london six expensive,api_call french london six expensive
1145,<query> can you make a restaurant reservation with italian food for four in a cheap price range,i'm on it,i'm on it
1146,<context> <user> can you make a restaurant reservation with italian food for four in a cheap price range <system> i'm on it <query> <SILENCE>,where should it be,where should it be
1147,<context> <user> can you make a restaurant reservation with italian food for four in a cheap price range <system> i'm on it <user> <SILENCE> <system> where should it be <query> london please,ok let me look into some options for you,ok let me look into some options for you
1148,<context> <user> can you make a restaurant reservation with italian food for four in a cheap price range <system> i'm on it <user> <SILENCE> <system> where should it be <user> london please <system> ok let me look into some options for you <query> <SILENCE>,api_call italian london four cheap,api_call italian london four cheap
1149,<query> i'd like to book a table for four with italian food,i'm on it,i'm on it
1150,<context> <user> i'd like to book a table for four with italian food <system> i'm on it <query> <SILENCE>,where should it be,where should it be
1151,<context> <user> i'd like to book a table for four with italian food <system> i'm on it <user> <SILENCE> <system> where should it be <query> bombay please,which price range are looking for,which price range are looking for
1152,<context> <user> i'd like to book a table for four with italian food <system> i'm on it <user> <SILENCE> <system> where should it be <user> bombay please <system> which price range are looking for <query> in a cheap price range please,ok let me look into some options for you,ok let me look into some options for you
1153,<context> <user> i'd like to book a table for four with italian food <system> i'm on it <user> <SILENCE> <system> where should it be <user> bombay please <system> which price range are looking for <user> in a cheap price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call italian bombay four cheap,api_call italian bombay four cheap
1154,<query> can you book a table with italian food in bombay,i'm on it,i'm on it
1155,<context> <user> can you book a table with italian food in bombay <system> i'm on it <query> <SILENCE>,how many people would be in your party,how many people would be in your party
1156,<context> <user> can you book a table with italian food in bombay <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <query> we will be four,which price range are looking for,which price range are looking for
1157,<context> <user> can you book a table with italian food in bombay <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> we will be four <system> which price range are looking for <query> in a cheap price range please,ok let me look into some options for you,ok let me look into some options for you
1158,<context> <user> can you book a table with italian food in bombay <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> we will be four <system> which price range are looking for <user> in a cheap price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call italian bombay four cheap,api_call italian bombay four cheap
1159,<query> may i have a table in london with spanish cuisine for four people,i'm on it,i'm on it
