,source_text,target_text,pred_text
1123,<context> <user> can you book a table with indian cuisine in a expensive price range for eight people in madrid <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian madrid eight expensive <user> instead could it be for six <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call indian madrid six expensive,api_call indian madrid six expensive
1124,<context> <user> can you book a table with indian cuisine in a expensive price range for eight people in madrid <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian madrid eight expensive <user> instead could it be for six <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian madrid six expensive <query> thank you,you're welcome,api_call indian madrid six expensive
1125,<query> may i have a table in madrid with british cuisine for two people in a expensive price range,i'm on it,i'm on it
1126,<context> <user> may i have a table in madrid with british cuisine for two people in a expensive price range <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
1127,<context> <user> may i have a table in madrid with british cuisine for two people in a expensive price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call british madrid two expensive,api_call british madrid two expensive
1128,<context> <user> may i have a table in madrid with british cuisine for two people in a expensive price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid two expensive <query> instead could it be with spanish cuisine,sure is there anything else to update,sure is there anything else to update
1129,<context> <user> may i have a table in madrid with british cuisine for two people in a expensive price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid two expensive <user> instead could it be with spanish cuisine <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
1130,<context> <user> may i have a table in madrid with british cuisine for two people in a expensive price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid two expensive <user> instead could it be with spanish cuisine <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish madrid two expensive,api_call spanish madrid two expensive
1131,<context> <user> may i have a table in madrid with british cuisine for two people in a expensive price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid two expensive <user> instead could it be with spanish cuisine <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish madrid two expensive <query> thanks,you're welcome,api_call spanish madrid two expensive
1132,<query> can you book a table with french food in a cheap price range in bombay for six people,i'm on it,i'm on it
1133,<context> <user> can you book a table with french food in a cheap price range in bombay for six people <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
1134,<context> <user> can you book a table with french food in a cheap price range in bombay for six people <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call french bombay six cheap,api_call french bombay six cheap
1135,<context> <user> can you book a table with french food in a cheap price range in bombay for six people <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french bombay six cheap <query> instead could it be in paris,sure is there anything else to update,sure is there anything else to update
1136,<context> <user> can you book a table with french food in a cheap price range in bombay for six people <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french bombay six cheap <user> instead could it be in paris <system> sure is there anything else to update <query> instead could it be in a moderate price range,sure is there anything else to update,sure is there anything else to update
1137,<context> <user> can you book a table with french food in a cheap price range in bombay for six people <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french bombay six cheap <user> instead could it be in paris <system> sure is there anything else to update <user> instead could it be in a moderate price range <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
1138,<context> <user> can you book a table with french food in a cheap price range in bombay for six people <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french bombay six cheap <user> instead could it be in paris <system> sure is there anything else to update <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call french paris six moderate,api_call french paris six moderate
1139,<context> <user> can you book a table with french food in a cheap price range in bombay for six people <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french bombay six cheap <user> instead could it be in paris <system> sure is there anything else to update <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french paris six moderate <query> you rock,you're welcome,api_call french paris six moderate
1140,<query> can you book a table in madrid for six with british food in a cheap price range,i'm on it,i'm on it
1141,<context> <user> can you book a table in madrid for six with british food in a cheap price range <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
1142,<context> <user> can you book a table in madrid for six with british food in a cheap price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call british madrid six cheap,api_call british madrid six cheap
1143,<context> <user> can you book a table in madrid for six with british food in a cheap price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid six cheap <query> actually i would prefer in a expensive price range,sure is there anything else to update,sure is there anything else to update
1144,<context> <user> can you book a table in madrid for six with british food in a cheap price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid six cheap <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
1145,<context> <user> can you book a table in madrid for six with british food in a cheap price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid six cheap <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call british madrid six expensive,api_call british madrid six expensive
1146,<context> <user> can you book a table in madrid for six with british food in a cheap price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid six cheap <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid six expensive <query> thanks,you're welcome,api_call british madrid six expensive
1147,<query> i'd like to book a table for eight people in a cheap price range with indian food in paris,i'm on it,i'm on it
1148,<context> <user> i'd like to book a table for eight people in a cheap price range with indian food in paris <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
1149,<context> <user> i'd like to book a table for eight people in a cheap price range with indian food in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call indian paris eight cheap,api_call indian paris eight cheap
1150,<context> <user> i'd like to book a table for eight people in a cheap price range with indian food in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian paris eight cheap <query> instead could it be in a expensive price range,sure is there anything else to update,sure is there anything else to update
1151,<context> <user> i'd like to book a table for eight people in a cheap price range with indian food in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian paris eight cheap <user> instead could it be in a expensive price range <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
1152,<context> <user> i'd like to book a table for eight people in a cheap price range with indian food in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian paris eight cheap <user> instead could it be in a expensive price range <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call indian paris eight expensive,api_call indian paris eight expensive
1153,<context> <user> i'd like to book a table for eight people in a cheap price range with indian food in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian paris eight cheap <user> instead could it be in a expensive price range <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian paris eight expensive <query> thank you,you're welcome,api_call indian paris eight expensive
1154,<query> may i have a table for six in a expensive price range with british cuisine in london,i'm on it,i'm on it
1155,<context> <user> may i have a table for six in a expensive price range with british cuisine in london <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
1156,<context> <user> may i have a table for six in a expensive price range with british cuisine in london <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call british london six expensive,api_call british london six expensive
1157,<context> <user> may i have a table for six in a expensive price range with british cuisine in london <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british london six expensive <query> instead could it be in a moderate price range,sure is there anything else to update,sure is there anything to update
1158,<context> <user> may i have a table for six in a expensive price range with british cuisine in london <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british london six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
1159,<context> <user> may i have a table for six in a expensive price range with british cuisine in london <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british london six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call british london six moderate,api_call british london six moderate
1160,<context> <user> may i have a table for six in a expensive price range with british cuisine in london <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british london six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british london six moderate <query> you rock,you're welcome,api_call british london six moderate
1161,<query> i'd like to book a table in a moderate price range for four in bombay with spanish cuisine,i'm on it,i'm on it
1162,<context> <user> i'd like to book a table in a moderate price range for four in bombay with spanish cuisine <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
1163,<context> <user> i'd like to book a table in a moderate price range for four in bombay with spanish cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish bombay four moderate,api_call spanish bombay four moderate
1164,<context> <user> i'd like to book a table in a moderate price range for four in bombay with spanish cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish bombay four moderate <query> instead could it be with british food,sure is there anything else to update,sure is there anything else to update
1165,<context> <user> i'd like to book a table in a moderate price range for four in bombay with spanish cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish bombay four moderate <user> instead could it be with british food <system> sure is there anything else to update <query> actually i would prefer in a expensive price range,sure is there anything else to update,sure is there anything else to update
1166,<context> <user> i'd like to book a table in a moderate price range for four in bombay with spanish cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish bombay four moderate <user> instead could it be with british food <system> sure is there anything else to update <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
1167,<context> <user> i'd like to book a table in a moderate price range for four in bombay with spanish cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish bombay four moderate <user> instead could it be with british food <system> sure is there anything else to update <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call british bombay four expensive,api_call british bombay four expensive
1168,<context> <user> i'd like to book a table in a moderate price range for four in bombay with spanish cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish bombay four moderate <user> instead could it be with british food <system> sure is there anything else to update <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british bombay four expensive <query> thanks,you're welcome,api_call british bombay four expensive
1169,<query> i'd like to book a table for six people in a cheap price range with indian food in paris,i'm on it,i'm on it
1170,<context> <user> i'd like to book a table for six people in a cheap price range with indian food in paris <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
1171,<context> <user> i'd like to book a table for six people in a cheap price range with indian food in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call indian paris six cheap,api_call indian paris six cheap
1172,<context> <user> i'd like to book a table for six people in a cheap price range with indian food in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian paris six cheap <query> instead could it be with british food,sure is there anything else to update,sure is there anything else to update
1173,<context> <user> i'd like to book a table for six people in a cheap price range with indian food in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian paris six cheap <user> instead could it be with british food <system> sure is there anything else to update <query> actually i would prefer in a moderate price range,sure is there anything else to update,sure is there anything else to update
1174,<context> <user> i'd like to book a table for six people in a cheap price range with indian food in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian paris six cheap <user> instead could it be with british food <system> sure is there anything else to update <user> actually i would prefer in a moderate price range <system> sure is there anything else to update <query> instead could it be in london,sure is there anything else to update,sure is there anything else to update
1175,<context> <user> i'd like to book a table for six people in a cheap price range with indian food in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian paris six cheap <user> instead could it be with british food <system> sure is there anything else to update <user> actually i would prefer in a moderate price range <system> sure is there anything else to update <user> instead could it be in london <system> sure is there anything else to update <query> instead could it be for two people,sure is there anything else to update,sure is there anything else to update
1176,<context> <user> i'd like to book a table for six people in a cheap price range with indian food in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian paris six cheap <user> instead could it be with british food <system> sure is there anything else to update <user> actually i would prefer in a moderate price range <system> sure is there anything else to update <user> instead could it be in london <system> sure is there anything else to update <user> instead could it be for two people <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
1177,<context> <user> i'd like to book a table for six people in a cheap price range with indian food in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian paris six cheap <user> instead could it be with british food <system> sure is there anything else to update <user> actually i would prefer in a moderate price range <system> sure is there anything else to update <user> instead could it be in london <system> sure is there anything else to update <user> instead could it be for two people <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query>  <SILENCE>,api_call british london two moderate,api_call british london two moderate
1178,<context> <user> i'd like to book a table for six people in a cheap price range with indian food in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian paris six cheap <user> instead could it be with british food <system> sure is there anything else to update <user> actually i would prefer in a moderate price range <system> sure is there anything else to update <user> instead could it be in london <system> sure is there anything else to update <user> instead could it be for two people <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user>  <SILENCE> <system> api_call british london two moderate <query>  thank you,you're welcome,api_call british london two moderate
1179,<query> i'd like to book a table in paris with british food in a expensive price range for six,i'm on it,i'm on it
1180,<context> <user> i'd like to book a table in paris with british food in a expensive price range for six <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
1181,<context> <user> i'd like to book a table in paris with british food in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call british paris six expensive,api_call british paris six expensive
1182,<context> <user> i'd like to book a table in paris with british food in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british paris six expensive <query> actually i would prefer for four,sure is there anything else to update,sure is there anything else to update
1183,<context> <user> i'd like to book a table in paris with british food in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british paris six expensive <user> actually i would prefer for four <system> sure is there anything else to update <query> instead could it be in london,sure is there anything else to update,sure is there anything else to update
1184,<context> <user> i'd like to book a table in paris with british food in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british paris six expensive <user> actually i would prefer for four <system> sure is there anything else to update <user> instead could it be in london <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
1185,<context> <user> i'd like to book a table in paris with british food in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british paris six expensive <user> actually i would prefer for four <system> sure is there anything else to update <user> instead could it be in london <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call british london four expensive,api_call british london four expensive
1186,<context> <user> i'd like to book a table in paris with british food in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british paris six expensive <user> actually i would prefer for four <system> sure is there anything else to update <user> instead could it be in london <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british london four expensive <query> thank you,you're welcome,api_call british london four expensive
1187,<query> i'd like to book a table with british cuisine in paris for six people in a moderate price range,i'm on it,i'm on it
1188,<context> <user> i'd like to book a table with british cuisine in paris for six people in a moderate price range <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
1189,<context> <user> i'd like to book a table with british cuisine in paris for six people in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call british paris six moderate,api_call british paris six moderate
1190,<context> <user> i'd like to book a table with british cuisine in paris for six people in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british paris six moderate <query> actually i would prefer in a expensive price range,sure is there anything else to update,sure is there anything else to update
1191,<context> <user> i'd like to book a table with british cuisine in paris for six people in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british paris six moderate <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <query> instead could it be for two,sure is there anything else to update,sure is there anything else to update
1192,<context> <user> i'd like to book a table with british cuisine in paris for six people in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british paris six moderate <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <user> instead could it be for two <system> sure is there anything else to update <query> instead could it be with indian food,sure is there anything else to update,sure is there anything else to update
1193,<context> <user> i'd like to book a table with british cuisine in paris for six people in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british paris six moderate <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <user> instead could it be for two <system> sure is there anything else to update <user> instead could it be with indian food <system> sure is there anything else to update <query> instead could it be in madrid,sure is there anything else to update,sure is there anything else to update
1194,<context> <user> i'd like to book a table with british cuisine in paris for six people in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british paris six moderate <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <user> instead could it be for two <system> sure is there anything else to update <user> instead could it be with indian food <system> sure is there anything else to update <user> instead could it be in madrid <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
1195,<context> <user> i'd like to book a table with british cuisine in paris for six people in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british paris six moderate <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <user> instead could it be for two <system> sure is there anything else to update <user> instead could it be with indian food <system> sure is there anything else to update <user> instead could it be in madrid <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query>  <SILENCE>,api_call indian madrid two expensive,api_call indian madrid two expensive
1196,<context> <user> i'd like to book a table with british cuisine in paris for six people in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british paris six moderate <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <user> instead could it be for two <system> sure is there anything else to update <user> instead could it be with indian food <system> sure is there anything else to update <user> instead could it be in madrid <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user>  <SILENCE> <system> api_call indian madrid two expensive <query>  thanks,you're welcome,api_call indian madrid two expensive
1197,<query> can you make a restaurant reservation for eight in a moderate price range with french cuisine in bombay,i'm on it,i'm on it
1198,<context> <user> can you make a restaurant reservation for eight in a moderate price range with french cuisine in bombay <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
1199,<context> <user> can you make a restaurant reservation for eight in a moderate price range with french cuisine in bombay <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call french bombay eight moderate,api_call french bombay eight moderate
1200,<context> <user> can you make a restaurant reservation for eight in a moderate price range with french cuisine in bombay <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french bombay eight moderate <query> actually i would prefer with spanish food,sure is there anything else to update,sure is there anything else to update
1201,<context> <user> can you make a restaurant reservation for eight in a moderate price range with french cuisine in bombay <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french bombay eight moderate <user> actually i would prefer with spanish food <system> sure is there anything else to update <query> actually i would prefer for six people,sure is there anything else to update,sure is there anything else to update
1202,<context> <user> can you make a restaurant reservation for eight in a moderate price range with french cuisine in bombay <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french bombay eight moderate <user> actually i would prefer with spanish food <system> sure is there anything else to update <user> actually i would prefer for six people <system> sure is there anything else to update <query> actually i would prefer in a expensive price range,sure is there anything else to update,sure is there anything else to update
1203,<context> <user> can you make a restaurant reservation for eight in a moderate price range with french cuisine in bombay <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french bombay eight moderate <user> actually i would prefer with spanish food <system> sure is there anything else to update <user> actually i would prefer for six people <system> sure is there anything else to update <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <query> actually i would prefer in rome,sure is there anything else to update,sure is there anything else to update
1204,<context> <user> can you make a restaurant reservation for eight in a moderate price range with french cuisine in bombay <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french bombay eight moderate <user> actually i would prefer with spanish food <system> sure is there anything else to update <user> actually i would prefer for six people <system> sure is there anything else to update <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <user> actually i would prefer in rome <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
1205,<context> <user> can you make a restaurant reservation for eight in a moderate price range with french cuisine in bombay <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french bombay eight moderate <user> actually i would prefer with spanish food <system> sure is there anything else to update <user> actually i would prefer for six people <system> sure is there anything else to update <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <user> actually i would prefer in rome <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query>  <SILENCE>,api_call spanish rome six expensive,api_call spanish rome six expensive
1206,<context> <user> can you make a restaurant reservation for eight in a moderate price range with french cuisine in bombay <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french bombay eight moderate <user> actually i would prefer with spanish food <system> sure is there anything else to update <user> actually i would prefer for six people <system> sure is there anything else to update <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <user> actually i would prefer in rome <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user>  <SILENCE> <system> api_call spanish rome six expensive <query>  thank you,you're welcome,api_call spanish rome six expensive
1207,<query> i'd like to book a table with italian cuisine in rome in a expensive price range for six,i'm on it,i'm on it
1208,<context> <user> i'd like to book a table with italian cuisine in rome in a expensive price range for six <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
1209,<context> <user> i'd like to book a table with italian cuisine in rome in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call italian rome six expensive,api_call italian rome six expensive
1210,<context> <user> i'd like to book a table with italian cuisine in rome in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call italian rome six expensive <query> instead could it be for eight people,sure is there anything else to update,sure is there anything else to update
1211,<context> <user> i'd like to book a table with italian cuisine in rome in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call italian rome six expensive <user> instead could it be for eight people <system> sure is there anything else to update <query> actually i would prefer in bombay,sure is there anything else to update,sure is there anything else to update
1212,<context> <user> i'd like to book a table with italian cuisine in rome in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call italian rome six expensive <user> instead could it be for eight people <system> sure is there anything else to update <user> actually i would prefer in bombay <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
1213,<context> <user> i'd like to book a table with italian cuisine in rome in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call italian rome six expensive <user> instead could it be for eight people <system> sure is there anything else to update <user> actually i would prefer in bombay <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call italian bombay eight expensive,api_call italian bombay eight expensive
1214,<context> <user> i'd like to book a table with italian cuisine in rome in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call italian rome six expensive <user> instead could it be for eight people <system> sure is there anything else to update <user> actually i would prefer in bombay <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call italian bombay eight expensive <query> thanks,you're welcome,api_call italian bombay eight expensive
1215,<query> may i have a table in a cheap price range with spanish food for two people in paris,i'm on it,i'm on it
1216,<context> <user> may i have a table in a cheap price range with spanish food for two people in paris <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
1217,<context> <user> may i have a table in a cheap price range with spanish food for two people in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish paris two cheap,api_call spanish paris two cheap
1218,<context> <user> may i have a table in a cheap price range with spanish food for two people in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish paris two cheap <query> actually i would prefer in madrid,sure is there anything else to update,sure is there anything else to update
1219,<context> <user> may i have a table in a cheap price range with spanish food for two people in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish paris two cheap <user> actually i would prefer in madrid <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
1220,<context> <user> may i have a table in a cheap price range with spanish food for two people in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish paris two cheap <user> actually i would prefer in madrid <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish madrid two cheap,api_call spanish madrid two cheap
1221,<context> <user> may i have a table in a cheap price range with spanish food for two people in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish paris two cheap <user> actually i would prefer in madrid <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish madrid two cheap <query> you rock,you're welcome,api_call spanish madrid two cheap
1222,<query> may i have a table with british cuisine in a moderate price range for eight in rome,i'm on it,i'm on it
1223,<context> <user> may i have a table with british cuisine in a moderate price range for eight in rome <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
1224,<context> <user> may i have a table with british cuisine in a moderate price range for eight in rome <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call british rome eight moderate,api_call british rome eight moderate
1225,<context> <user> may i have a table with british cuisine in a moderate price range for eight in rome <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british rome eight moderate <query> actually i would prefer with indian food,sure is there anything else to update,sure is there anything else to update
